exIdx	themeGiven	recipientGiven	themeDefinite	recipientDefinite	verbSense	themeAnimacy	recipientAnimacy	isDative	ableToTiebreak	verbLemma	themePronominal	recipientPronominal	themeLength	recipientLength	themeNumber	recipientNumber	structure	verbClass	recipientPerson	themePerson	previousStructure
1919245	Not Given	Given	Definite	Definite	Transfer Posession	Concrete	Organization	TRUE	TRUE	toss	FALSE	TRUE	5	1	Plur	Plur	DO	THROWING	third	third	None
1920021	Given	Not Given	Definite	Definite	Abstract	NotConcrete	NotConcrete	TRUE	TRUE	push	TRUE	FALSE	1	4	Sing	Sing	PP	CARRY	third	third	None
1920601	Not Given	Not Given	Indefinite	Definite	Communication	NotConcrete	NotConcrete	TRUE	TRUE	post	FALSE	FALSE	1	6	Plur	Sing	PP	SEND	third	third	None
1921165	Given	Not Given	Definite	Definite	Transfer Posession	Vehicle	Human	TRUE	TRUE	tow	TRUE	FALSE	1	15	Sing	Sing	PP	CARRY	third	third	None
1924950	Given	Not Given	Indefinite	Definite	Transfer Posession	Concrete	Organization	TRUE	TRUE	lease	FALSE	FALSE	1	2	Sing	Sing	PP	GIVE	third	third	PP
1925475	Not Given	Not Given	Definite	Definite	Transfer Posession	Human	Organization	TRUE	TRUE	flip	FALSE	FALSE	2	4	Sing	Plur	PP	THROWING	third	third	None
1930184	Not Given	Not Given	Definite	Indefinite	Communication	NotConcrete	Human	TRUE	TRUE	relay	FALSE	FALSE	3	9	Sing	Sing	PP	MESSAGE TRANSFER	third	third	None
1930541	Not Given	Not Given	Indefinite	Definite	Communication	NotConcrete	Human	TRUE	TRUE	ask	FALSE	FALSE	4	2	Plur	Sing	DO	MESSAGE TRANSFER	third	third	None
1932195	Not Given	Not Given	Definite	Indefinite	Communication	Concrete	Human	TRUE	TRUE	write	FALSE	FALSE	3	11	Sing	Plur	PP	MESSAGE TRANSFER	third	third	None
1932197	Not Given	Not Given	Definite	Indefinite	Abstract	NotConcrete	Human	TRUE	TRUE	extend	FALSE	FALSE	3	10	Sing	Plur	PP	FUTURE HAVING	third	third	PP
1932378	Not Given	Given	Definite	Definite	Abstract	NotConcrete	Organization	TRUE	TRUE	grant	FALSE	TRUE	5	1	Sing	Plur	DO	FUTURE HAVING	first	third	None
1934916	Not Given	Not Given	Indefinite	Definite	Abstract	NotConcrete	NotConcrete	TRUE	TRUE	drive	FALSE	FALSE	1	4	Sing	Sing	PP	?DRIVE	third	third	None
1935227	Not Given	Given	Definite	Definite	Communication	NotConcrete	Human	TRUE	TRUE	drive	FALSE	FALSE	2	4	Sing	Sing	PP	?DRIVE	third	third	None
1938797	Given	Not Given	Definite	Indefinite	Communication	Human	Human	TRUE	TRUE	pitch	TRUE	FALSE	1	3	Sing	Plur	PP	THROWING	third	third	None
1939917	Given	Not Given	Definite	Definite	Transfer Posession	Vehicle	Human	TRUE	TRUE	sell	FALSE	TRUE	2	1	Sing	Plur	DO	GIVE	first	third	None
1939968	Given	Not Given	Definite	Definite	Abstract	Human	Organization	TRUE	TRUE	sign	FALSE	FALSE	1	4	Sing	Plur	PP	COMMUNICATION INSTRUMENT	third	third	None
1943581	Not Given	Given	Definite	Definite	Communication	NotConcrete	Human	TRUE	TRUE	show	FALSE	FALSE	2	14	Sing	Sing	PP	MESSAGE TRANSFER	third	third	PP
1946517	Not Given	Not Given	Definite	Indefinite	Communication	NotConcrete	Human	TRUE	TRUE	ask	FALSE	FALSE	9	1	Sing	Plur	DO	MESSAGE TRANSFER	third	third	None
1953194	Not Given	Not Given	Indefinite	Definite	Transfer Posession	Animal	Human	TRUE	TRUE	chuck	FALSE	TRUE	3	1	Plur	Sing	DO	THROWING	first	third	None
1953205	Not Given	Given	Indefinite	Definite	Abstract	NotConcrete	Organization	TRUE	TRUE	pose	FALSE	FALSE	4	3	Sing	Plur	PP	MESSAGE TRANSFER	third	third	None
1953994	Not Given	Given	Definite	Definite	Communication	NotConcrete	Human	TRUE	TRUE	ask	FALSE	TRUE	5	1	Sing	Plur	DO	MESSAGE TRANSFER	first	third	None
1954167	Not Given	Not Given	Indefinite	Indefinite	Abstract	NotConcrete	Mix	TRUE	TRUE	extend	FALSE	FALSE	1	5	Sing	Plur	PP	FUTURE HAVING	third	third	None
1954392	Not Given	Not Given	Definite	Indefinite	Communication	NotConcrete	Human	TRUE	TRUE	pose	FALSE	FALSE	4	8	Sing	Sing	PP	MESSAGE TRANSFER	third	third	None
1954488	Not Given	Not Given	Definite	Definite	Abstract	NotConcrete	NotConcrete	TRUE	TRUE	flip	FALSE	TRUE	2	1	Sing	Sing	DO	THROWING	third	third	None
1956747	Not Given	Given	Definite	Definite	Transfer Posession	Concrete	Human	TRUE	TRUE	kick	FALSE	FALSE	2	2	Sing	Sing	PP	THROWING	third	third	None
1957640	Given	Not Given	Definite	Indefinite	Transfer Posession	Concrete	Human	TRUE	TRUE	slip	TRUE	FALSE	1	6	Sing	Sing	PP	SEND	third	third	None
1958617	Not Given	Not Given	Indefinite	Definite	Communication	NotConcrete	Animal	TRUE	TRUE	preach	FALSE	FALSE	3	3	Sing	Plur	PP	MESSAGE TRANSFER	third	third	None
1959948	Not Given	Not Given	Indefinite	Definite	Communication	NotConcrete	Human	TRUE	TRUE	relay	FALSE	FALSE	2	3	Plur	Sing	PP	MESSAGE TRANSFER	third	third	None
1959957	Not Given	Not Given	Indefinite	Definite	Transfer Posession	NotConcrete	Human	TRUE	TRUE	slide	FALSE	FALSE	2	3	Sing	Sing	PP	SLIDE	third	third	None
1960807	Not Given	Not Given	Definite	Definite	Transfer Posession	Concrete	Human	TRUE	TRUE	flip	TRUE	FALSE	1	2	Sing	Sing	PP	THROWING	third	third	None
1961979	Not Given	Not Given	Definite	Indefinite	Abstract	NotConcrete	NotConcrete	TRUE	TRUE	lend	TRUE	FALSE	1	7	Sing	Plur	PP	GIVE	third	third	None
1964828	Not Given	Not Given	Definite	Definite	Abstract	NotConcrete	Human	TRUE	TRUE	pay	FALSE	FALSE	2	5	Plur	Sing	PP	GIVE	third	third	None
1965374	Not Given	Not Given	Definite	Definite	Transfer Posession	Concrete	Human	TRUE	TRUE	lease	FALSE	FALSE	2	19	Sing	Sing	PP	GIVE	third	third	None
1967330	Not Given	Given	Definite	Definite	Communication	NotConcrete	Human	TRUE	TRUE	ask	FALSE	FALSE	12	1	Sing	Sing	DO	MESSAGE TRANSFER	third	third	None
1968638	Not Given	Given	Indefinite	Definite	Future Posession	Concrete	Human	TRUE	TRUE	promise	FALSE	TRUE	2	1	Sing	Sing	DO	FUTURE HAVING	first	third	None
1970750	Not Given	Given	Definite	Definite	Abstract	NotConcrete	Human	TRUE	TRUE	grant	FALSE	TRUE	11	1	Sing	Plur	DO	FUTURE HAVING	first	third	None
1971656	Not Given	Not Given	Indefinite	Indefinite	Transfer Posession	Concrete	Human	TRUE	TRUE	give	FALSE	FALSE	1	5	Sing	Plur	PP	GIVE	third	third	None
1972343	Not Given	Not Given	Indefinite	Indefinite	Abstract	NotConcrete	Human	TRUE	TRUE	pose	FALSE	FALSE	2	11	Sing	Plur	PP	MESSAGE TRANSFER	third	third	DO
1973397	Given	Not Given	Definite	Indefinite	Abstract	NotConcrete	NotConcrete	TRUE	TRUE	allocate	FALSE	FALSE	7	2	NA	Sing	PP	FUTURE HAVING	third	third	None
1974599	Not Given	Given	Indefinite	Definite	Communication	NotConcrete	Organization	TRUE	TRUE	shoot	FALSE	TRUE	4	1	Sing	Plur	DO	THROWING	first	third	None
1975260	Not Given	Given	Definite	Definite	Abstract	NotConcrete	Human	TRUE	TRUE	flip	FALSE	TRUE	3	1	Sing	Sing	DO	THROWING	third	third	None
1976114	Not Given	Given	Definite	Definite	Abstract	NotConcrete	Human	TRUE	TRUE	award	FALSE	FALSE	4	5	Sing	Plur	PP	FUTURE HAVING	third	third	None
1977878	Given	Given	Definite	Definite	Transfer Posession	Concrete	Human	TRUE	TRUE	lease	FALSE	TRUE	2	1	Sing	Plur	DO	GIVE	third	third	None
1979182	Not Given	Not Given	Definite	Definite	Transfer Posession	Concrete	Human	TRUE	TRUE	fling	TRUE	FALSE	1	9	Sing	Sing	PP	THROWING	third	third	None
1979708	Not Given	Given	Indefinite	Definite	Communication	NotConcrete	Human	TRUE	TRUE	signal	FALSE	TRUE	1	2	Sing	NA	PP	COMMUNICATION INSTRUMENT	second	third	None
1980565	Not Given	Not Given	Indefinite	Definite	Abstract	Organization	Organization	TRUE	TRUE	bequeath	FALSE	FALSE	16	2	Sing	Sing	DO	FUTURE HAVING	third	third	None
1983039	Not Given	Given	Indefinite	Definite	Communication	NotConcrete	Human	TRUE	TRUE	ask	FALSE	TRUE	1	1	Plur	NA	DO	MESSAGE TRANSFER	second	third	None
1983706	Not Given	Not Given	Definite	Definite	Abstract	Human	Organization	TRUE	TRUE	sign	FALSE	FALSE	13	4	Sing	Sing	PP	COMMUNICATION INSTRUMENT	third	third	None
1988317	Given	Not Given	Definite	Definite	Transfer Posession	Human	Human	TRUE	TRUE	sell	TRUE	FALSE	1	2	Sing	Sing	PP	GIVE	third	third	None
1988616	Not Given	Not Given	Definite	Definite	Abstract	NotConcrete	Human	TRUE	TRUE	flip	FALSE	FALSE	2	2	Sing	Sing	DO	THROWING	third	third	None
1989518	Given	Not Given	Definite	Definite	Abstract	NotConcrete	Organization	TRUE	TRUE	kick	TRUE	FALSE	1	3	Sing	Sing	PP	THROWING	third	third	None
1990426	Given	Not Given	Definite	Definite	Abstract	Human	Organization	TRUE	TRUE	sign	FALSE	FALSE	1	4	Sing	Sing	PP	COMMUNICATION INSTRUMENT	third	third	None
1993491	Given	Given	Definite	Definite	Communication	NotConcrete	Human	TRUE	TRUE	e-mail	TRUE	TRUE	1	2	Sing	NA	PP	COMMUNICATION INSTRUMENT	second	third	None
1994035	Not Given	Not Given	Definite	Definite	Abstract	NotConcrete	NotConcrete	TRUE	TRUE	push	FALSE	FALSE	2	8	Plur	Sing	PP	CARRY	third	third	None
1994674	Not Given	Not Given	Definite	Definite	Abstract	NotConcrete	Organization	TRUE	TRUE	concede	FALSE	FALSE	3	2	Sing	Sing	PP	FUTURE HAVING	third	third	None
1995014	Given	Given	Definite	Definite	Abstract	Place	Human	TRUE	TRUE	promise	FALSE	TRUE	4	1	Sing	NA	DO	FUTURE HAVING	second	third	None
1995042	Given	Given	Definite	Definite	Transfer Posession	Concrete	Human	TRUE	TRUE	slide	TRUE	TRUE	1	2	Sing	Sing	PP	SLIDE	third	third	None
1995157	Not Given	Given	Definite	Definite	Abstract	NotConcrete	Human	TRUE	TRUE	tip	FALSE	FALSE	2	5	Sing	Sing	PP	THROWING	third	third	None
1996251	Given	Not Given	Definite	Definite	Transfer Posession	Human	Organization	TRUE	TRUE	flip	FALSE	FALSE	1	2	Sing	Sing	PP	THROWING	third	third	None
1998277	Not Given	Not Given	Indefinite	Indefinite	Communication	NotConcrete	Human	TRUE	TRUE	tell	FALSE	FALSE	7	1	NA	Plur	DO	MESSAGE TRANSFER	third	third	None
1999919	Not Given	Not Given	Definite	Definite	Transfer Posession	Mix	Human	TRUE	TRUE	advance	FALSE	FALSE	4	4	Plur	Plur	PP	FUTURE HAVING	third	third	None
2001647	Not Given	Given	Definite	Definite	Abstract	NotConcrete	Organization	TRUE	TRUE	offer	FALSE	TRUE	5	1	Sing	Plur	DO	FUTURE HAVING	third	third	None
2001815	Not Given	Not Given	Indefinite	Definite	Transfer Posession	Concrete	Human	TRUE	TRUE	roll	FALSE	FALSE	1	22	Sing	Sing	PP	SLIDE	third	third	None
2002261	Given	Not Given	Definite	Definite	Transfer Posession	Concrete	Human	TRUE	TRUE	fly	TRUE	TRUE	1	2	Plur	NA	PP	?DRIVE	second	third	None
2002370	Not Given	Given	Indefinite	Definite	Communication	NotConcrete	Animal	TRUE	TRUE	relay	FALSE	FALSE	1	3	Sing	Sing	PP	MESSAGE TRANSFER	third	third	None
2004343	Not Given	Given	Definite	Definite	Transfer Posession	Concrete	Human	TRUE	TRUE	mail	FALSE	TRUE	2	2	Sing	Sing	PP	SEND	second	third	PP
2004481	Not Given	Not Given	Indefinite	Definite	Communication	NotConcrete	Organization	TRUE	TRUE	write	FALSE	FALSE	1	3	Plur	Plur	PP	MESSAGE TRANSFER	third	third	None
2006609	Not Given	Not Given	Definite	Definite	Abstract	NotConcrete	Human	TRUE	TRUE	guarantee	FALSE	TRUE	6	1	Sing	Plur	DO	FUTURE HAVING	first	third	None
2007299	Not Given	Given	Indefinite	Definite	Abstract	Concrete	Human	TRUE	TRUE	drag	FALSE	TRUE	2	1	Sing	Sing	DO	CARRY	first	third	DO
2007449	Given	Given	Definite	Definite	Communication	NotConcrete	Human	TRUE	TRUE	preach	FALSE	TRUE	2	2	Sing	Plur	PP	MESSAGE TRANSFER	third	third	None
2009005	Not Given	Not Given	Indefinite	Indefinite	Transfer Posession	NotConcrete	Organization	TRUE	TRUE	allot	FALSE	FALSE	1	5	Plur	Plur	PP	FUTURE HAVING	third	third	None
2009122	Given	Not Given	Definite	Definite	Transfer Posession	Concrete	Human	TRUE	TRUE	carry	TRUE	FALSE	1	3	Sing	Sing	PP	CARRY	third	third	None
2010135	Not Given	Not Given	Indefinite	Definite	Transfer Posession	Concrete	Organization	TRUE	TRUE	smuggle	FALSE	FALSE	3	4	Plur	Sing	PP	SEND	third	third	None
2011111	Given	Not Given	Definite	Definite	Transfer Posession	Human	Organization	TRUE	TRUE	trade	TRUE	FALSE	1	2	Sing	Sing	PP	GIVE	third	third	PP
2011285	Not Given	Given	Indefinite	Definite	Transfer Posession	NotConcrete	Organization	TRUE	TRUE	kick	FALSE	TRUE	2	1	Sing	Plur	DO	THROWING	third	third	None
2011356	Not Given	Not Given	Definite	Indefinite	Abstract	NotConcrete	Organization	TRUE	TRUE	give	FALSE	FALSE	21	1	Sing	Plur	DO	GIVE	third	third	None
2013963	Given	Given	Definite	Definite	Communication	NotConcrete	Organization	TRUE	TRUE	take	TRUE	FALSE	1	3	Sing	Sing	PP	BRING/TAKE	third	third	None
2014042	Not Given	Not Given	Definite	Indefinite	Communication	NotConcrete	Human	TRUE	TRUE	preach	FALSE	FALSE	5	4	Sing	Sing	PP	MESSAGE TRANSFER	third	third	None
2015282	Not Given	Given	Indefinite	Definite	Transfer Posession	NotConcrete	Organization	TRUE	TRUE	will	FALSE	FALSE	4	5	Plur	Sing	PP	FUTURE HAVING	third	third	None
2015873	Not Given	Not Given	Definite	Definite	Transfer Posession	Concrete	Human	TRUE	TRUE	will	FALSE	FALSE	2	3	Sing	Plur	PP	FUTURE HAVING	third	third	None
2016417	Not Given	Not Given	Indefinite	Indefinite	Transfer Posession	NotConcrete	Human	TRUE	TRUE	hit	FALSE	FALSE	2	9	Sing	Sing	PP	THROWING	third	third	None
2016759	Not Given	Not Given	Indefinite	Indefinite	Transfer Posession	Concrete	Human	TRUE	TRUE	sell	FALSE	FALSE	7	1	Sing	Sing	DO	GIVE	third	third	None
2017346	Not Given	Given	Definite	Definite	Transfer Posession	Organization	Organization	TRUE	TRUE	flip	FALSE	FALSE	2	2	Sing	Sing	PP	THROWING	third	third	None
2017602	Not Given	Given	Definite	Definite	Transfer Posession	Concrete	Human	TRUE	TRUE	mail	FALSE	TRUE	3	1	Sing	NA	DO	SEND	second	third	None
2018745	Not Given	Given	Indefinite	Definite	Abstract	NotConcrete	Human	TRUE	TRUE	throw	FALSE	TRUE	3	1	Sing	NA	DO	THROWING	second	third	None
2018846	Not Given	Given	Indefinite	Definite	Communication	NotConcrete	Human	TRUE	TRUE	signal	FALSE	TRUE	1	2	Sing	Sing	PP	COMMUNICATION INSTRUMENT	third	third	None
2023282	Not Given	Given	Indefinite	Definite	Abstract	NotConcrete	Concrete	TRUE	TRUE	grant	FALSE	TRUE	8	1	Sing	Sing	DO	FUTURE HAVING	third	third	None
2023416	Not Given	Not Given	Indefinite	Indefinite	Abstract	NotConcrete	NotConcrete	TRUE	TRUE	pay	FALSE	FALSE	1	4	Sing	Plur	PP	GIVE	third	third	None
2024021	Given	Not Given	Definite	Definite	Communication	NotConcrete	Human	TRUE	TRUE	preach	FALSE	FALSE	1	9	Sing	Sing	PP	MESSAGE TRANSFER	third	third	None
2025050	Not Given	Not Given	Definite	Definite	Transfer Posession	NotConcrete	Organization	TRUE	TRUE	sell	FALSE	FALSE	2	3	Sing	Plur	PP	GIVE	third	third	None
2029321	Given	Not Given	Definite	Indefinite	Abstract	NotConcrete	NotConcrete	TRUE	TRUE	push	FALSE	FALSE	2	4	Sing	Sing	PP	CARRY	third	third	None
2029409	Not Given	Not Given	Indefinite	Definite	Abstract	NotConcrete	Human	TRUE	TRUE	give	FALSE	TRUE	9	1	Sing	NA	DO	GIVE	second	third	None
2030283	Not Given	Not Given	Indefinite	Definite	Communication	Concrete	Organization	TRUE	TRUE	fax	FALSE	FALSE	6	5	Sing	Sing	PP	COMMUNICATION INSTRUMENT	third	third	None
2031316	Not Given	Given	Indefinite	Definite	Abstract	NotConcrete	NotConcrete	TRUE	TRUE	drive	FALSE	FALSE	2	3	Sing	Plur	PP	?DRIVE	third	third	None
2032205	Not Given	Not Given	Indefinite	Definite	Transfer Posession	Concrete	Human	TRUE	TRUE	allot	FALSE	FALSE	1	9	Sing	Plur	PP	FUTURE HAVING	third	third	None
2034694	Not Given	Given	Indefinite	Indefinite	Abstract	NotConcrete	Human	TRUE	TRUE	award	FALSE	FALSE	5	3	Plur	Plur	PP	FUTURE HAVING	third	third	None
2035745	Not Given	Not Given	Definite	Definite	Communication	NotConcrete	Organization	TRUE	TRUE	pitch	TRUE	FALSE	1	2	Sing	Sing	PP	THROWING	third	third	None
2039731	Given	Not Given	Definite	Definite	Communication	NotConcrete	Human	TRUE	TRUE	e-mail	FALSE	FALSE	2	3	Plur	Sing	PP	COMMUNICATION INSTRUMENT	third	third	None
2040650	Not Given	Not Given	Indefinite	Definite	Transfer Posession	NotConcrete	Human	TRUE	TRUE	issue	FALSE	TRUE	2	1	Sing	NA	DO	FUTURE HAVING	second	third	None
2041108	Not Given	Not Given	Definite	Indefinite	Communication	NotConcrete	Mix	TRUE	TRUE	e-mail	FALSE	FALSE	2	12	Sing	Sing	PP	COMMUNICATION INSTRUMENT	third	third	PP
2046571	Given	Not Given	Definite	Definite	Transfer Posession	Human	Organization	TRUE	TRUE	trade	TRUE	FALSE	1	3	Sing	Plur	PP	GIVE	third	third	None
2048365	Given	Given	Definite	Definite	Transfer Posession	Concrete	Human	TRUE	TRUE	kick	FALSE	FALSE	2	3	Sing	NA	PP	THROWING	third	third	None
2048890	Given	Given	Indefinite	Definite	Transfer Posession	Vehicle	Human	TRUE	TRUE	sell	FALSE	TRUE	2	1	Sing	NA	DO	GIVE	second	third	None
2049410	Not Given	Not Given	Indefinite	Definite	Transfer Posession	Concrete	Human	TRUE	TRUE	bounce	FALSE	FALSE	2	3	Sing	Sing	PP	SLIDE	third	third	None
2049866	Given	Given	Definite	Definite	Transfer Posession	Concrete	Organization	TRUE	TRUE	mail	FALSE	FALSE	2	16	Sing	Sing	PP	SEND	third	third	DO
2052445	Not Given	Not Given	Definite	Definite	Transfer Posession	Human	Organization	TRUE	TRUE	trade	FALSE	FALSE	2	3	Sing	Plur	PP	GIVE	third	third	None
2053785	Not Given	Given	Indefinite	Definite	Transfer Posession	NotConcrete	Human	TRUE	TRUE	loan	FALSE	TRUE	1	2	Sing	NA	PP	GIVE	second	third	None
2054048	Given	Given	Definite	Definite	Transfer Posession	NotConcrete	Organization	TRUE	TRUE	repay	FALSE	TRUE	5	1	Sing	Plur	DO	GIVE	third	third	None
2056015	Not Given	Given	Indefinite	Definite	Communication	NotConcrete	Human	TRUE	TRUE	preach	FALSE	TRUE	2	2	Sing	Plur	PP	MESSAGE TRANSFER	first	third	None
2057796	Not Given	Not Given	Indefinite	Definite	Abstract	NotConcrete	NotConcrete	TRUE	TRUE	issue	FALSE	FALSE	2	5	Sing	Sing	PP	FUTURE HAVING	third	third	None
2057951	Not Given	Given	Indefinite	Definite	Communication	NotConcrete	Human	TRUE	TRUE	send	FALSE	TRUE	3	1	Sing	NA	DO	SEND	second	third	None
2059285	Not Given	Not Given	Indefinite	Indefinite	Transfer Posession	Concrete	Organization	TRUE	TRUE	lease	FALSE	FALSE	1	10	Sing	Plur	PP	GIVE	third	third	None
2060885	Not Given	Not Given	Definite	Definite	Transfer Posession	Human	Organization	TRUE	TRUE	trade	FALSE	FALSE	2	3	Sing	Plur	PP	GIVE	third	third	None
2061268	Not Given	Not Given	Indefinite	Indefinite	Communication	NotConcrete	Human	TRUE	TRUE	teach	FALSE	FALSE	1	6	Sing	Plur	PP	MESSAGE TRANSFER	third	third	None
2062361	Given	Not Given	Definite	Definite	Transfer Posession	NotConcrete	Concrete	TRUE	TRUE	refund	TRUE	FALSE	1	22	Sing	Sing	PP	GIVE	third	third	None
2063181	Not Given	Given	Definite	Definite	Abstract	NotConcrete	Concrete	TRUE	TRUE	give	FALSE	TRUE	3	1	Sing	Sing	DO	GIVE	third	third	None
2064610	Not Given	Not Given	Indefinite	Indefinite	Abstract	NotConcrete	Human	TRUE	TRUE	push	FALSE	FALSE	1	3	Plur	Plur	PP	CARRY	third	third	None
2064644	Given	Not Given	Definite	Definite	Communication	NotConcrete	Concrete	TRUE	TRUE	preach	FALSE	FALSE	2	3	Sing	Sing	PP	MESSAGE TRANSFER	third	third	None
2066668	Not Given	Not Given	Indefinite	Definite	Communication	NotConcrete	Organization	TRUE	TRUE	issue	FALSE	FALSE	1	3	Sing	Sing	PP	FUTURE HAVING	third	third	None
2071092	Not Given	Not Given	Indefinite	Indefinite	Transfer Posession	Concrete	Human	TRUE	TRUE	kick	FALSE	FALSE	2	3	Sing	Sing	PP	THROWING	third	third	None
2071251	Not Given	Not Given	Indefinite	Indefinite	Abstract	Concrete	Organization	TRUE	TRUE	offer	FALSE	FALSE	3	36	Sing	Plur	PP	FUTURE HAVING	third	third	None
2071371	Not Given	Not Given	Definite	Definite	Communication	NotConcrete	Human	TRUE	TRUE	read	FALSE	FALSE	2	3	Sing	Sing	PP	MESSAGE TRANSFER	third	third	None
2071442	Not Given	Given	Indefinite	Definite	Abstract	NotConcrete	Human	TRUE	TRUE	grant	FALSE	TRUE	6	1	Sing	Sing	DO	FUTURE HAVING	first	third	None
2071726	Not Given	Not Given	Definite	Definite	Abstract	NotConcrete	Organization	TRUE	TRUE	repay	FALSE	FALSE	5	4	Sing	Plur	PP	GIVE	third	third	None
2072818	Not Given	Not Given	Definite	Definite	Communication	NotConcrete	Human	TRUE	TRUE	preach	FALSE	FALSE	2	2	Sing	Sing	PP	MESSAGE TRANSFER	third	third	None
2072962	Not Given	Given	Indefinite	Definite	Communication	NotConcrete	Human	TRUE	TRUE	ask	FALSE	TRUE	6	1	NA	Sing	DO	MESSAGE TRANSFER	third	third	None
2075088	Not Given	Not Given	Definite	Definite	Communication	NotConcrete	Human	TRUE	TRUE	preach	FALSE	FALSE	1	3	Sing	Plur	PP	MESSAGE TRANSFER	third	third	None
2075523	Not Given	Not Given	Indefinite	Definite	Abstract	NotConcrete	Organization	TRUE	TRUE	pass	FALSE	FALSE	1	9	Sing	Sing	PP	GIVE	third	third	None
2075764	Not Given	Given	Definite	Definite	Transfer Posession	Concrete	Human	TRUE	TRUE	hit	TRUE	FALSE	1	4	Sing	NA	PP	THROWING	third	third	None
2075932	Given	Not Given	Definite	Definite	Abstract	Human	Organization	TRUE	TRUE	sign	TRUE	FALSE	1	3	Sing	Sing	PP	COMMUNICATION INSTRUMENT	third	third	None
2077383	Given	Given	Definite	Definite	Transfer Posession	Concrete	Human	TRUE	TRUE	bounce	TRUE	TRUE	1	2	Sing	Sing	PP	SLIDE	third	third	None
2078282	Not Given	Not Given	Indefinite	Definite	Transfer Posession	Concrete	Human	TRUE	TRUE	slide	FALSE	FALSE	2	7	Sing	Sing	PP	SLIDE	third	third	None
2081120	Not Given	Not Given	Indefinite	Indefinite	Transfer Posession	Concrete	Human	TRUE	TRUE	rent	FALSE	FALSE	1	5	Plur	Plur	PP	GIVE	third	third	None
2083138	Not Given	Not Given	Indefinite	Definite	Abstract	NotConcrete	Human	TRUE	TRUE	hand	FALSE	FALSE	3	1	Plur	Sing	DO	SEND	third	third	None
2085192	Given	Not Given	Definite	Definite	Abstract	Human	Organization	TRUE	TRUE	sign	FALSE	FALSE	2	3	Sing	Sing	PP	COMMUNICATION INSTRUMENT	third	third	DO
2085577	Not Given	Given	Indefinite	Definite	Communication	NotConcrete	Human	TRUE	TRUE	preach	FALSE	TRUE	3	2	Sing	NA	PP	MESSAGE TRANSFER	second	third	None
2086572	Not Given	Given	Definite	Definite	Transfer Posession	Concrete	Human	TRUE	TRUE	will	FALSE	FALSE	2	2	Sing	Sing	PP	FUTURE HAVING	third	third	None
2087902	Not Given	Not Given	Indefinite	Indefinite	Communication	NotConcrete	Human	TRUE	TRUE	pitch	FALSE	FALSE	11	3	Plur	Sing	PP	THROWING	third	third	None
2088889	Not Given	Not Given	Indefinite	Definite	Abstract	NotConcrete	Human	TRUE	TRUE	grant	FALSE	TRUE	1	1	Sing	NA	DO	FUTURE HAVING	second	third	None
2089125	Given	Given	Definite	Definite	Transfer Posession	Concrete	Organization	TRUE	TRUE	sell	FALSE	TRUE	2	2	Sing	Plur	PP	GIVE	first	third	None
2089432	Not Given	Given	Indefinite	Definite	Communication	NotConcrete	Organization	TRUE	TRUE	kick	FALSE	FALSE	1	3	Plur	NA	PP	THROWING	third	third	None
2090522	Not Given	Given	Indefinite	Definite	Abstract	NotConcrete	Human	TRUE	TRUE	pose	FALSE	TRUE	2	2	Plur	Sing	PP	MESSAGE TRANSFER	first	third	None
2093614	Not Given	Given	Definite	Definite	Communication	NotConcrete	Organization	TRUE	TRUE	e-mail	FALSE	TRUE	2	1	Plur	Plur	DO	COMMUNICATION INSTRUMENT	first	third	None
2095502	Given	Not Given	Definite	Definite	Transfer Posession	Concrete	Organization	TRUE	TRUE	bequeath	TRUE	FALSE	1	4	Sing	Sing	PP	FUTURE HAVING	third	third	None
2097462	Not Given	Not Given	Definite	Definite	Communication	Concrete	Organization	TRUE	TRUE	fax	FALSE	FALSE	4	6	Sing	Sing	PP	COMMUNICATION INSTRUMENT	third	third	None
2101407	Not Given	Given	Indefinite	Definite	Abstract	NotConcrete	Human	TRUE	TRUE	throw	FALSE	FALSE	2	1	Sing	Sing	DO	THROWING	third	third	None
2104206	Given	Given	Definite	Definite	Communication	Concrete	Human	TRUE	TRUE	read	FALSE	TRUE	3	2	Plur	Sing	PP	MESSAGE TRANSFER	first	third	None
2105235	Given	Not Given	Definite	Definite	Transfer Posession	Concrete	Human	TRUE	TRUE	flip	TRUE	FALSE	1	29	Sing	Sing	PP	THROWING	third	third	None
2105868	Given	Not Given	Definite	Indefinite	Transfer Posession	Animal	Human	TRUE	TRUE	schlep	TRUE	FALSE	1	8	Sing	Sing	PP	CARRY	third	third	None
2106277	Not Given	Not Given	Indefinite	Definite	Transfer Posession	Concrete	Animal	TRUE	TRUE	slip	FALSE	FALSE	4	2	Sing	Sing	DO	SEND	third	third	None
2108176	Given	Given	Definite	Definite	Transfer Posession	Vehicle	Human	TRUE	TRUE	tow	TRUE	TRUE	1	2	Sing	NA	PP	CARRY	second	third	None
2108621	Not Given	Given	Indefinite	Definite	Transfer Posession	Concrete	Human	TRUE	TRUE	toss	FALSE	FALSE	2	6	Sing	Sing	PP	THROWING	third	third	None
2112891	Not Given	Given	Definite	Definite	Communication	NotConcrete	Human	TRUE	TRUE	teach	FALSE	TRUE	15	1	Sing	NA	DO	MESSAGE TRANSFER	second	third	None
2118704	Not Given	Not Given	Definite	Definite	Transfer Posession	Concrete	Human	TRUE	TRUE	float	FALSE	FALSE	2	26	Sing	Sing	PP	SLIDE	third	third	None
